"id","code","excel_col","description","excel_row","calculation_formula","excel_sheet","name","register_type","default_value"
"__export__.delsol_financial_state_row_4046","D53","","","","","","C.PAG","Configuracion","0"
"__export__.delsol_financial_state_row_4047","D54","","","","","","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4048","D55","","","","","","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4049","D56","","","","","","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4050","D57","","","","D6+D14+D22+D30+D38+D46+D54","","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4051","D6","K","","6","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4052","D7","M","","6","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4053","D8","O","","6","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4054","D9","A","","7","","Hoja3","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4055","DD1","A","","16","","Hoja3","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4056","DD10","E","","17","","Hoja3","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4057","DD11","G","","17","","Hoja3","CUOTAS PAGAS","Configuracion","0"
"__export__.delsol_financial_state_row_4058","DD12","K","","17","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4059","DD13","M","","17","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4060","DD14","O","","17","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4061","DD15","A","","18","","Hoja3","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4062","DD16","C","","18","","Hoja3","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4063","DD17","F","","18","","Hoja3","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4064","DD18","G","","18","","Hoja3","CUOTAS PAGAS","Configuracion","0"
"__export__.delsol_financial_state_row_4065","DD19","K","","18","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4066","DD2","B","","16","","Hoja3","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4067","DD20","M","","18","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4068","DD21","O","","18","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4069","DD22","A","","19","","Hoja3","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4070","DD23","C","","19","","Hoja3","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4071","DD24","E","","19","","Hoja3","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4072","DD25","G","","19","","Hoja3","CUOTAS PAGAS","Configuracion","0"
"__export__.delsol_financial_state_row_4073","DD26","K","","19","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4074","DD27","M","","19","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4075","DD28","O","","19","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4076","DD29","A","","20","","Hoja3","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4077","DD3","E","","16","","Hoja3","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4078","DD30","C","","20","","Hoja3","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4079","DD31","E","","20","","Hoja3","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4080","DD32","G","","20","","Hoja3","CUOTAS PAGAS","Configuracion","0"
"__export__.delsol_financial_state_row_4081","DD33","K","","20","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4082","DD34","M","","20","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4083","DD35","O","","20","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4084","DD36","A","","21","","Hoja3","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4085","DD37","C","","21","","Hoja3","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4086","DD38","E","","21","","Hoja3","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4087","DD39","G","","21","","Hoja3","CUOTAS PAGAS","Configuracion","0"
"__export__.delsol_financial_state_row_4088","DD4","G","","16","","Hoja3","CUOTAS PAGAS","Configuracion","0"
"__export__.delsol_financial_state_row_4089","DD40","K","","21","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4090","DD41","M","","21","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4091","DD42","O","","21","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4092","DD43","A","","22","","Hoja3","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4093","DD44","C","","22","","Hoja3","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4094","DD45","E","","22","","Hoja3","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4095","DD46","G","","22","","Hoja3","CUOTAS PAGAS","Configuracion","0"
"__export__.delsol_financial_state_row_4096","DD47","K","","22","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4097","DD48","M","","22","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4098","DD49","O","","22","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4099","DD5","K","","16","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4100","DD50","","","","DD5+DD12+DD19+DD26+ DD33+DD40+DD47","","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4101","DD6","M","","16","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4102","DD7","O","","16","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4103","DD8","A","","17","","Hoja3","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4104","DD9","C","","17","","Hoja3","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4105","F1","","","","","","Vol. Ventas Tradicionales","Configuracion","0"
"__export__.delsol_financial_state_row_4106","F10","","","","","","VOL. VTAS USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4107","F11","","","","","","VOL. VTAS USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4108","F12","","","","","","VOL. VTAS USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4109","F13","","","","","","VOL. VTAS USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4110","F14","","","","","","VOL. VTAS USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4111","F15","","","","","","VOL. VTAS USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4112","F16","","","","F10+F11+F12+F13+F14+F15","","VOL. VTAS USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4113","F17","","","","","","Vol. Ventas Unid. de Ahorro","Configuracion","0"
"__export__.delsol_financial_state_row_4114","F18","","","","","","V. U.P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4115","F19","","","","","","V. U.P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4116","F2","","","","","","VOL. VTAS TRADICIONAL","Configuracion","0"
"__export__.delsol_financial_state_row_4117","F20","","","","","","VOL. V. U.P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4118","F21","","","","","","VOL. V. U.P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4119","F22","","","","","","VOL. V. U.P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4120","F23","","","","","","VOL. V. U.P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4121","F24","","","","F18+F19+F20+F21+F22+F23","","VOL. V. U.P.AHOR","Configuracion","0"
"__export__.delsol_financial_state_row_4122","F25","","","","","","Facturacion Repuestos","Configuracion","0"
"__export__.delsol_financial_state_row_4123","F26","","","","","","FC REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4124","F27","","","","","","FC REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4125","F28","","","","","","FC REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4126","F29","","","","","","FC REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4127","F3","","","","","","VOL. VTAS TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4128","F30","","","","","","FC REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4129","F31","","","","","","FC REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4130","F32","","","","F26+F27+F28+F29+F30+F31","","FC REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4131","F33","","","","","","Facturacion Servicios","Configuracion","0"
"__export__.delsol_financial_state_row_4132","F34","","","","","","FC SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4133","F35","","","","","","FC SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4134","F36","","","","","","FC SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4135","F37","","","","","","FC SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4136","F38","","","","","","FC SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4137","F39","","","","","","FC SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4138","F4","","","","","","VOL. VTAS TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4139","F40","","","","F34+F35+F36+F37+F38+F39","","FC SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4140","F41","","","","","","Susc. Planes de Ahorro","Configuracion","0"
"__export__.delsol_financial_state_row_4141","F42","","","","","","SUSC P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4142","F43","","","","","","SUSC P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4143","F44","","","","","","SUSC P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4144","F45","","","","","","SUSC P.AHORRO","Configuracion","0"
